id-old,emoji ,name_en-US,name_ja-JP,id,alias-ja,isUserPref,isTeamPref,isUserActivity,isTeamActivity,isOrgPref,isPersonalEvent,isPersonalEventEntryPoint,isTeamEvent,isTeamEventEntryPoint,isEventResult,isPersonalRecord,resultCriteria,gameEndFactor,recordValue,hasTricks,category 1,category 2,category 3,canBeDraw,gameEndFactorException,scoringUnitCountName,priorityRecordContents,,is paralymic,競技人口 (世界),人気の国,個人競技/チーム競技,団体戦があるか,チーム・クラブの値になるか,競技の結果になるか,結果の基準,終了のタイミング,,メモ
466cf1d0-cdf7-4224-bb44-8490a7d1b21c,🏊,Swimming freestyle 25m,競泳自由型25ｍ,Swimming-freestyle-25m,水泳 クロール,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,FALSE,,,,,,,,,,,,個人,,FALSE,,記録,,,
089c39b1-007b-40ac-8064-9b680db1b78a,🏊,Swimming freestyle 50m,競泳自由型50ｍ,Swimming-freestyle-50m,水泳 クロール,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,FALSE,swimming,競泳,,,,,,,,,,個人,,FALSE,,記録,,,
a8b94f0b-dd54-4403-ac3c-f1b3f593999f,🏊,Swimming freestyle 100m,競泳自由型100ｍ,Swimming-freestyle-100m,水泳 クロール,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,FALSE,swimming,競泳,,,,,,,,,,個人,,FALSE,,記録,,,
60b35490-fc6d-4a07-9c6e-0f12ac566ec6,🏊,Swimming freestyle 200m,競泳自由型200m,Swimming-freestyle-200m,水泳 クロール,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,FALSE,swimming,競泳,,,,,,,,,,個人,,FALSE,,記録,,,
2a948236-044e-4b6f-9289-9ca4220f5914,🏊,Swimming freestyle 400m,競泳自由型400m,Swimming-freestyle-400m,水泳 クロール,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,FALSE,swimming,競泳,,,,,,,,,,個人,,FALSE,,記録,,,
935465cc-6925-4b31-bdac-e77c63095826,🏊,Swimming freestyle 800m,競泳自由型800m,Swimming-freestyle-800m,水泳 クロール,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,FALSE,swimming,競泳,,,,,,,,,,個人,,FALSE,,記録,,,
992295f1-1b93-4ed7-b0b3-2a5d49d05588,🏊,Swimming freestyle 1500m,競泳自由型1500m,Swimming-freestyle-1500m,水泳 クロール,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,FALSE,swimming,競泳,,,,,,,,,,個人,,FALSE,,記録,,,
2316f0f2-e178-4dc1-b750-9ac97c3eb1c9,🏊,competitive backstroke,競泳背泳ぎ,competitive-backstroke,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,record,finish,,FALSE,swimming,競泳,,,,,,,,,,個人,,FALSE,,記録,,,
9ed19e9c-3032-4515-b560-50597effc8d9,🏊,Competitive backstroke 50m,競泳背泳ぎ50m,Competitive-backstroke-50m,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,FALSE,swimming,競泳,,,,,,,,,,個人,,FALSE,,記録,,,
8274b4a8-34ef-4f2a-8326-82e88113db9b,🏊,Competitive backstroke 100m,競泳背泳ぎ100m,Competitive-backstroke-100m,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,FALSE,swimming,競泳,,,,,,,,,,個人,,FALSE,,記録,,,
12e1964f-1083-4c3b-b61d-28e17ded0ead,🏊,Competitive backstroke 200m,競泳背泳ぎ200m,Competitive-backstroke-200m,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,FALSE,swimming,競泳,,,,,,,,,,個人,,FALSE,,記録,,,
fd92195a-af36-4c96-9e95-fb7f5cd1336b,🏊,competitive breaststroke,競泳平泳ぎ,competitive-breaststroke,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,record,finish,,FALSE,swimming,競泳,,,,,,,,,,個人,,FALSE,,記録,,,
3cb75853-0b60-4cc0-a275-f40f2336326b,🏊,Competitive breaststroke 50m,競泳平泳ぎ50m,Competitive-breaststroke-50m,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,FALSE,swimming,競泳,,,,,,,,,,個人,,FALSE,,記録,,,
333e8b6d-9494-4765-9b81-1257d57df650,🏊,Competitive breaststroke 100m,競泳平泳ぎ100m,Competitive-breaststroke-100m,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,FALSE,swimming,競泳,,,,,,,,,,個人,,FALSE,,記録,,,
68d3c174-3b6c-4902-9a8d-04bc504cdbbd,🏊,Competitive breaststroke 200m,競泳平泳ぎ200m,Competitive-breaststroke-200m,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,record,finish,time,FALSE,swimming,競泳,,,,,,,,,,個人,,FALSE,,記録,,,
4809bf3c-671e-4543-99a2-b388a86e211b,🏊,competitive butterfly swimming,競泳バタフライ,competitive-butterfly-swimming,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,record,finish,,FALSE,swimming,競泳,,,,,,,,,,個人,,FALSE,,記録,,,
